date,Users,,,,,,,
2022-01-10,0,,,,,,,
2022-01-17,587,,,,,,,
2022-01-24,1209,,,,,,,
2022-01-31,1835,,,,,,,
2022-02-07,2484,,,,,,,
2022-02-14,3120,,,,,,,
2022-02-21,3779,,,,,,,
2022-02-28,5030,,,,,,,
2022-03-07,6455,,,,,,,
2022-03-14,8055,,,,,,,
2022-03-21,9699,,,,,,,
2022-03-28,11280,,,,,,,
2022-04-04,12816,,,,,,,
2022-04-11,14390,,,,,,,
2022-04-18,15957,,,,,,,
2022-04-25,17699,,,,,,,
2022-05-02,19277,,,,,,,
2022-05-09,20680,,,,,,,
2022-05-16,22158,,,,,,,
2022-05-23,23605,,,,,,,
2022-05-30,25090,,,,,,,
2022-06-06,26598,,,,,,,
2022-06-13,28096,,,,,,,
2022-06-20,29501,,,,,,,
2022-06-27,30912,,,,,,,
2022-07-04,32194,,,,,,,
2022-07-11,33433,,,,,,,
2022-07-18,34678,,,,,,,
2022-07-25,35901,,,,,,,
2022-08-01,37228,,,,,,,
2022-08-08,38954,,,,,,,
2022-08-15,40454,,,,,,,
2022-08-22,41810,,,,,,,
2022-08-29,43066,,,,,,,
2022-09-05,44370,,,,,,,
2022-09-12,45932,,,,,,,
2022-09-19,47941,,,,,,,
2022-09-26,50025,,,,,,,
2022-10-03,52118,,,,,,,
2022-10-10,54543,,,,,,,
2022-10-17,56991,,,,,,,
2022-10-24,59945,,,,,,,
2022-10-31,62515,,,,,,,
2022-11-07,65138,,,,,,,
2022-11-14,67982,,,,,,,
2022-11-21,70579,,,,,,,
2022-11-28,73093,,,,,,,
2022-12-05,75626,,,,,,,
2022-12-12,78239,,,,,,,
2022-12-19,80861,,,,,,,
2022-12-26,86108,,,,,,,
2023-01-02,91085,,,,,,,
2023-01-09,94629,,,,,,,
